date,open,high,low,close,volume,name
16-04-2019,1329.1,1329.1,1329,1328.1,0.05K,XAUUSD
17-04-2019,1327.6,1327.6,1327.6,1327.6,0.06K,XAUUSD
18-04-2019,1326.9,1326.9,1326.9,1326.9,0.08K,XAUUSD
19-04-2019,1277.9,1277.9,1277.9,1277.9,-,XAUUSD
22-04-2019,1328.5,1328.5,1328.5,1328.5,0.00K,XAUUSD
23-04-2019,1323.8,1323.8,1323.8,1323.8,0.01K,XAUUSD
24-04-2019,1329.9,1329.9,1329.9,1329.9,0.15K,XAUUSD
25-04-2019,1330.2,1330.2,1330.2,1330.2,0.00K,XAUUSD
26-04-2019,1339.2,1339.2,1339.2,1339.2,0.38K,XAUUSD
29-04-2019,1331.6,1331.6,1331.6,1331.6,0.14K,XAUUSD
30-04-2019,1335.7,1335.7,1335.7,1335.7,0.21K,XAUUSD
01-05-2019,1334.2,1334.2,1334.2,1334.2,0.26K,XAUUSD
02-05-2019,1323,1323,1323,1322.2,0.00K,XAUUSD
03-05-2019,1331.7,1331.7,1331.7,1331.7,0.02K,XAUUSD
06-05-2019,1334,1334,1334,1334,0.01K,XAUUSD
07-05-2019,1335.8,1335.8,1335.8,1335.8,0.12K,XAUUSD
08-05-2019,1338,1338,1338,1331.4,0.05K,XAUUSD
09-05-2019,1335.1,1335.1,1335.1,1335.1,0.04K,XAUUSD
10-05-2019,1337.2,1337.2,1337.2,1337.2,0.05K,XAUUSD
13-05-2019,1350.2,1350.2,1350.2,1350.2,0.12K,XAUUSD
14-05-2019,1343.4,1343.4,1343.4,1343.4,0.20K,XAUUSD
15-05-2019,1344.5,1344.5,1344.5,1344.5,0.06K,XAUUSD
16-05-2019,1333.1,1333.1,1333.1,1333.1,0.11K,XAUUSD
17-05-2019,1322.5,1322.5,1322.5,1322.5,0.21K,XAUUSD
20-05-2019,1324.2,1324.2,1324.2,1324.2,0.08K,XAUUSD
21-05-2019,1320.1,1320.1,1320.1,1320.1,0.10K,XAUUSD
22-05-2019,1321.3,1321.3,1321.3,1321.3,0.02K,XAUUSD
23-05-2019,1328.4,1328.4,1328.4,1331.8,0.00K,XAUUSD
24-05-2019,1329.2,1329.2,1329.2,1330.1,0.00K,XAUUSD
26-05-2019,1284.2,1285.15,1283.65,1284.15,-,XAUUSD
27-05-2019,1284.25,1286.85,1283.25,1284.95,-,XAUUSD
28-05-2019,1322.6,1322.6,1322.6,1323.3,0.12K,XAUUSD
29-05-2019,1327.8,1327.8,1327.8,1326.5,0.00K,XAUUSD
30-05-2019,1332.4,1332.4,1332.4,1341.4,0.33K,XAUUSD
31-05-2019,1342.9,1347.8,1342.9,1357.5,0.22K,XAUUSD
03-06-2019,1356.5,1356.5,1356.5,1372.9,0.07K,XAUUSD
04-06-2019,1366.5,1366.5,1366.5,1373.9,0.03K,XAUUSD
05-06-2019,1376.6,1376.6,1368.8,1377.6,0.16K,XAUUSD
06-06-2019,1370,1370,1370,1385.9,0.09K,XAUUSD
07-06-2019,1388.5,1388.5,1382.4,1389.3,0.05K,XAUUSD
10-06-2019,1378,1378,1367,1374.3,0.01K,XAUUSD
11-06-2019,1369,1369,1369,1376.4,1.01K,XAUUSD
12-06-2019,1373.8,1373.8,1373.8,1381.2,0.01K,XAUUSD
13-06-2019,1378.3,1378.7,1378.3,1388.1,0.00K,XAUUSD
